text,label
1. long lasting battery (you don't have to recharge it as frequentyly as some of the flip phones)2.,0
I hope this place sticks around.,1
Just had lunch here and had a great experience.,1
Also the area where my unit broke).- I'm not too fond of the magnetic strap.,0
My rating: just 3 out of 10.  ,0
Battery lasts only a few hours.,0
The pancake was also really good and pretty large at that.,1
I wouldn't return.,0
I highly recommend this case.,1
The phone gets EXTREMELY HOT!,0
"Emily Watson's character is very strong, and she has only to give a quick glance and you understand everything.  ",1
Great pork sandwich.,1
"Anyways, The food was definitely not filling at all, and for the price you pay you should expect more.",0
This is definitely a must have if your state does not allow cell phone usage while driving.,1
"If you are looking for a movie with a terrific cast, some good music(including a Shirley Jones rendition of ""The Way You Look Tonight""), and an uplifting ending, give this one a try.  ",1
"Looks great and is strong.""",1
The live music on Fridays totally blows.,0
The budget was evidently very limited.  ,0
I great reception all the time.,1
My Sanyo has survived dozens of drops on blacktop without ill effect.,1
The earpiece on this is too large or too heavy...it keeps falling out of my ear.,0
Last night was my second time dining here and I was so happy I decided to go back!,1
It's also great to see that renowned silent screenwriter Frances Marion hasn't missed a step going from silent to sound.  ,1
Their network coverage in Los Angeles is horrible.,0
The acting was bad.  ,0
"Five star Plus, plus.",1
I dressed up to be treated so rudely!,0
"Kathy Bates is wonderful in her characters subtle desperation and escapism; a variation on her character in ""At Play In The Fields Of The Lord"".  ",1
Wow very spicy but delicious.,1
"I ate there twice on my last visit, and especially enjoyed the salmon salad.",1
This company charge me a restocking fee and still not given me my refund back.,0
If you haven't choked in your own vomit by the end (by all the cheap drama and worthless dialogue) you've must have bored yourself to death with this waste of time.  ,0
"I am pairing this with my iphone, and I could not be happier with it so far.",1
"The acting was decidely wooden, though no worse than a period Universal B movie.  ",0
Hitchcock is a great director.  ,1
Better Than New.,1
The soundtrack sucked.  ,0
It's pretty easy.,1
"This review is long overdue, since I consider A Tale of Two Sisters to be the single greatest film ever made.  ",1
The WORST EXPERIENCE EVER.,0
This is such a fun and funny movie.  ,1
I had the opportunity today to sample your amazing pizzas!,1
The ear buds only play music in one ear.,0
"The meat was pretty dry, I had the sliced brisket and pulled pork.",0
The one big drawback of the MP3 player is that the buttons on the phone's front cover that let you pause and skip songs lock out after a few seconds.,0
"I have a Verizon LG phone and they work well together, good reception and range that exceeds 20 feet line of sight.",1
This place deserves one star and 90% has to do with the food.,0
I was very excited to get this headset because I thought it was really cute.,1
"Went in for happy hour, great list of wines.",1
"The screen size is big, key pad lit well enough, and the camera quality is excellent for a camera phone.",1
These are certainly very comfortable and functionality is decent.,1
I was seated immediately.,1
Comfortable in my hand.,1
Bad Reception.,0
Even worse than Ticker!  ,0
The fries were great too.,1
"It seems completely secure, both holding on to my belt, and keeping the iPhone inside.",1
You need at least 3 mins to get to your phone book from the time you first turn on the phone.Battery life is short.,0
"I was proven dead wrong by this sushi bar, not only because the quality is great, but the service is fast and the food, impeccable.",1
It is indescribably the most annoying and idiotic show I have ever seen.  ,0
Service sucks.,0
I am also very happy with the price.,1
"not even a ""hello, we will be right with you.""",0
""" But ""Storm Trooper"" is not even bad enough to make it to the list of wonderfully terrible movies.  ",0
And then tragedy struck.,0
Buy a different phone - but not this.,0
"When I opened the sandwich, I was impressed, but not in a good way.",0
"It was forced, like everything in this movie.  ",0
If someone orders two tacos don't' you think it may be part of customer service to ask if it is combo or ala cart?,0
Best of luck to the rude and non-customer service focused new management.,0
"If that bug never showed up I would have given a 4 for sure, but on the other side of the wall where this bug was climbing was the kitchen.",0
The best phone in market :).,1
"Friend's pasta -- also bad, he barely touched it.",0
"Best of all is the rotating feature, very helpful.",1
"There is, however, some pretty good acting (at least, for this type of film).  ",1
"I get absolutely horrible reception in my apartment, where with other phones I have not had this problem.",0
"Loved it...friendly servers, great food, wonderful and imaginative menu.",1
I've seen soap operas more intelligent than this movie.  ,0
She carries the movie well.  ,1
Couldn't figure it out,0
"I had a salad with the wings, and some ice cream for dessert and left feeling quite satisfied.",1
Does Not Work.,0
Not even good for camp value!  ,0
"It's just adorable seeing Mickey playing ""Turkey in the Straw"" in a highly imaginative (if occasionally cruel) way.  ",1
I don't have to be an accountant to know I'm getting screwed!,0
Anne Heche was utterly convincing.  ,1
Simply beautiful.  ,1
Not a good bargain.,0
The two main characters may be two of the most believable children I ever saw put on screen.  ,1
"When it opens, the battery connection is broken and the device is turned off.",0
"Audio Quality is poor, very poor.",0
I don't think you will be disappointed.  ,1
"The food, amazing.",1
I have bought this Nokia cell phone a few weeks ago and it was a nightmare.,0
The cast is always entertaining as usual.  ,1
"Comfortable, Nice Range, Good Battery Life.",1
An Awesome New Look For Fall 2000!.,1
"The color is even prettier than I thought it would be, and the graphics are incredibly sharp.",1
"I wish I could enter negative values, admins?  ",0
I've had this for nearly 2 years and it has worked great for me.,1
So I bought about 10 of these and saved alot of money.,1
I dont think I will be back for a very long time.,0
"you can even take self portraits with the outside (exterior) display, very cool.",1
Both of the egg rolls were fantastic.,1
"As an earlier review noted, plug in this charger and nothing happens.",0
I'll take my business dinner dollars elsewhere.,0
"Im big fan of RPG games too, but this movie, its a disgrace to any self-respecting RPGer there is.  ",0
The bus boy on the other hand was so rude.,0
Very Displeased.,0
Integrated seamlessly with the Motorola RAZR phone.,1
RUDE & INCONSIDERATE MANAGEMENT.,0
Nargile - I think you are great.,1
Just don't know why they were so slow.,0
"What did bother me, was the slow service.",0
I can say that the desserts were yummy.,1
The guy who said he's had better dialogue with his potted plants has it right.  ,0
All in all a beautiful directed film from Nicola's roeg wih a sublime cast.  ,1
The plot has more holes than a pair of fishnet stockings and the direction and editing is astonishingly ham fisted.  ,0
Food was great and so was the serivce!,1
"Strike 2, who wants to be rushed.",0
I guess maybe we went on an off night but it was disgraceful.,0
Design Flaw?.,0
Which are small and not worth the price.,0
"It has a very good plot, it holds your complete attention, the acting is superb, Tom Wilkinson was fantastic and Emily Watson was also very good.  ",1
The art style has the appearance of crayon/pencil drawings and is wonderfully colorful and fanciful.  ,1
It was way over fried.,0
Not good by any stretch of the imagination.,0
Don't make the same mistake that I did and please don't buy this phone.,0
Really awful.  ,0
Enough can not be said of the remarkable animation in this film.  ,1
Do not waste your money here!,0
"Classy/warm atmosphere, fun and fresh appetizers, succulent steaks (Baseball steak!!!!!",1
By the time the pyromaniac waylaid the assistant I was bored and didn't care what happened next and so I switched off.  ,0
It also took her forever to bring us the check when we asked for it.,0
I would give this television series a 10 plus if i could.  ,1
It wasn't busy at all and now we know why.,0
The camera really likes her in this movie.  ,1
Everything was fresh and delicious!,1
"This movie is a solid example of a bad plot and a very, very bad idea all the way.  ",0
"It was very popular when I was in the cinema, a good house and very good reactions and plenty of laughs.  ",1
The plot is nonsense that doesn't interest in the slightest way or have any uniqueness to it.  ,0
Great sound and service.,1
But it picked up speed and got right to the point.  ,1
it did not work in my cell phone plug i am very up set with the charger!.,0
The waitress was friendly and happy to accomodate for vegan/veggie options.,1
It was horrible!.,0
We have tried 2 units and they both failed within 2 months.. Pros,0
"But, in any case, the best part is, you can download these pictures to your laptop using IR, or even send pictures from your laptop to the phone.",1
This place receives stars for their APPETIZERS!!!,1
Awsome Device Works Great!!.,1
I had the mac salad and it was pretty bland so I will not be getting that again.,0
Leopard Print is wonderfully wild!.,1
"The film's dialogue is natural, real to life.  ",1
The movie was very interesting from beginning to the end.  ,1
Everything about this film is simply incredible.  ,1
And the chef was generous with his time (even came around twice so we can take pictures with him).,1
The scallop dish is quite appalling for value as well.,0
Don't buy this product.,0
My girlfriend's veal was very bad.,0
The only thing I wasn't too crazy about was their guacamole as I don't like it puréed.,0
"Then I exchanged for the same phone, even that had the same problem.",0
This is one of the best Italian thrillers of the early 70's.  ,1
I have tried these cables with my computer and my iPod and it works just fine.,1
"good item, low price.",1
"If you love death and decay, and Shakespears lyrics... this is the one.  ",1
The cashier was friendly and even brought the food out to me.,1
"Good food , good service .",1
I ended up sliding it on the edge of my pants or back pockets instead.,1
Ironically I mostly find his films a total waste of time to watch.  ,0
"This convention never worked well in the past, and certainly doesn't work here.  ",0
I was particularly pleased with the acting ability of Dwight Schultz.  ,1
#1 It Works - #2 It is Comfortable.,1
I was very pleased to see that I could replace my well travled swivel holster for my Blackberry flip.,1
its a little geeky but i think thats its sex on toast and it rocks and oozes sex right down to its battery embedded sleek stylish leather case.,1
"Bad characters, bad story and bad acting.  ",0
very tough and very short on flavor!,0
Was not happy.,0
This movie is also revealing.  ,1
It's still wild stuff though and is highly recommended to fans of giallo cinema.  ,1
"I have used several phone in two years, but this one is the best.",1
"Also, the phone doesn't seem to accept anything except CBR mp3s, preferably ripped by Windows Media Player.",0
I give Wirefly 1 star.I will contact Cingular/AT&T; and inform them of this practice.,0
"When my order arrived, one of the gyros was missing.",0
"By the time the film ended, I not only disliked it, I despised it.  ",0
"This item worked great, but it broke after 6 months of use.",0
Rating: 0/10 (Grade: Z) Note: The Show Is So Bad That Even Mother Of The Cast Pull Her Daughter Out Of The Show.  ,0
;) Recommend with confidence!  ,1
The inside is really quite nice and very clean.,1
"It's fits like a glove and is strong, secure, and durable.",1
"Lifetime does not air it enough, so if anyone knows what store sells it let me know because this is a must-have.  ",1
Love This Phone.,1
Great place to relax and have an awesome burger and beer.,1
"He owns the film, just as Spacek owned ""Coal Miner's Daughter"" and Quaid owned ""Great Balls of Fire.  ",1
"Saggy, floppy piece of junk.",0
This is some seriously good pizza and I'm an expert/connisseur on the topic.,1
No complaints!,1
I usually don't like headbands but this one is very lightweight & doesn't mess up my hair.,1
My boyfriend tried the Mediterranean Chicken Salad and fell in love.,1
"however, my girl was complain that some time the phone doesn't wake up like normal phone does.",0
These headphones were a great find - and I think they are perhaps the best purchase I've made in the last several years - seriously.,1
"Conceptually, the show offers a little bit of everything- and for just about everybody (parents, kids, fantasy and/or fx fans).  ",1
"The puppets look really cheesy , not in a good way like in the Puppet Master 80's flicks.  ",0
It was absolutely amazing.,1
From what my dinner companions told me...everything was very fresh with nice texture and taste.,1
"It works great with a car charger, especially if you cannot plug in two adapters at the same time.",1
Excellent sound quality.,1
Worst hour and a half of my life!Oh my gosh!  ,0
"The acting helps the writing along very well (maybe the idiot-savant sister could have been played better), and it is a real joy to watch.  ",1
The nachos are a MUST HAVE!,1
"No shifting, no bubbling, no peeling, not even a scratch, NOTHING!I couldn't be more happier with my new one for the Droid.",1
It's one of the movies I need to see whenever it comes on TV...never mind the fact that I already have it memorized!  ,1
I want to first say our server was great and we had perfect service.,1
This totally UNfunny movie is so over the top and pathetic and unrealistic that throughout the whole 90 minutes of utter torture I probably looked at my watch about 70000 times!  ,0
The food was terrible.,0
I love this bluetooth!,1
If you check the director's filmography on this site you will see why this film didn't have a chance.  ,0
Your staff spends more time talking to themselves than me.,0
"It's close to my house, it's low-key, non-fancy, affordable prices, good food.",1
Rating: 1 out of 10.  ,0
"Looks good in the picture, but this case was a huge disappointment!!",0
"The acting is terrible, and the writing is worse.  ",0
It dit not work most of the time with my Nokia 5320.,0
"putting the race card aside, lets look at the major flaw in the film: they destroy latifa's character.  ",0
Fantastic food!,1
"After one bite, I was hooked.",1
The design is very good.4.,1
So just beware.,0
It was probably dirt.,0
This place lacked style!!,0
"After waiting an hour and being seated, I was not in the greatest of moods.",0
This is one of Peter Watkins most accessible films.  ,1
"The movie lacks visual interest, drama, expression of feeling, and celebration of the very patriotism that underlines the narrative.  ",0
The death row scenes were entirely unmoving.  ,0
I received my supposedly new motorola 375 and apparently there was not a match between the phone and the charger.,0
The stories were powerful explorations of the nature of man and of art.  ,1
This is an extraordinary film.  ,1
"Nice quality build, unlike some cheap s*** out there.",1
"This is a witty and delightful adaptation of the Dr Seuss book, brilliantly animated by UPA's finest and thoroughly deserving of its Academy Award.  ",1
Some may say this buffet is pricey but I think you get what you pay for and this place you are getting quite a lot!,1
Items stated as included from the description ARE NOT INCLUDED.,0
"The movie in movie situations in the beginning and through the game that is played with her by the ""acting coach"" are fascinating.  ",1
"You can't relate with them, hell you barely can understand them.  ",0
The roast beef sandwich tasted really good!,1
Authentic leather with nice shine and comfort .I recommend you this case !!,1
The kids are very cool too.  ,1
I'd advise anyone to go and see it.  ,1
I think i was one of the people who found this another one of roth's pearls.  ,1
I cannot make calls at certain places.,0
I recommend iGo to anyone with different brand cell phones/mp3 players in the family.,1
"I live in the neighborhood so I am disappointed I won't be back here, because it is a convenient location.",0
Doesn't hold charge.,0
Defective crap.,0
This may be the only bad film he ever made.  ,0
Terrible service!,0
"Call me a nut, but I think this is one of the best movies ever.  ",1
The cast of veteran actors are more than just a nostalgia trip.  ,1
Can't store anything but phone numbers to SIM.,0
The most annoying thing about 'Cover Girl' is the way in which Rita Hayworth is put up on a pedestal.  ,0
"I saw this film over Christmas, and what a great film it was!  ",1
"Your servers suck, wait, correction, our server Heimer sucked.",0
Hard to judge whether these sides were good because we were grossed out by the melted styrofoam and didn't want to eat it for fear of getting sick.,0
From here on the Widmark character turns unintentionally comical!  ,0
Why was this film made?  ,0
The Veggitarian platter is out of this world!,1
"And the rest of it just sits there being awful... with soldiers singing songs about the masculinity they pledge themselves to, hairsplitting about purity, the admiration of swords, etc.  ",0
This would not even be good as a made for TV flick.  ,0
I don't recommend unless your car breaks down in front of it and you are starving.,0
"One of the most boring,pointless movies I have ever seen.  ",0
""" In fact, it's hard to remember that the part of Ray Charles is being acted, and not played by the man himself.  ",1
We received a WHITE colored battery that goes DEAD after a couple hoursTHe original used to last a week - but still lasts longer than thereplacement,0
"If there was ever a movie that needed word-of-mouth to promote, this is it.  ",1
Truly awful.,0
Fantastic buy and will get again for whatever my next phone is,1
Our server was very nice and attentive as were the other serving staff.,1
If there were zero stars I would give it zero stars.,0
"This was reflected not only in the cast, but also in the below-par script, which borrowed much from the earlier classic.  ",0
"Terrible product, and waste of money!",0
The phone takes FOREVER to charge like 2 to 5 hours literally.,0
Great place fo take out or eat in.,1
"I posted more detailed comments under the grey or black phone, but i have the Fire Red and it's a great color!",1
Soggy and not good.,0
The movie is full of wonderful dancing (hence the title!  ,1
No buyers remorse on this one!.,0
I would recommend it.,1
"Furthermore, you can't even find hours of operation on the website!",0
I had the chicken Pho and it tasted very bland.,0
I love all the features and form factor.,1
"Feelings, thoughts...Gabriel's discomfort during the dance...all these intangibles leap to life and come within the viewer's grasp in Huston's portrayal.  ",1
Now I am getting angry and I want my damn pho.,0
It's so bad it's actually worth seeing just for that reason.  ,0
It defeats the purpose of a bluetooth headset.,0
"Main thing I didn't enjoy is that the crowd is of older crowd, around mid 30s and up.",0
You will leave the theater wanting to go out and dance under the stars.  ,1
Waiter was a jerk.,0
"It was too predictable, even for a chick flick.  ",0
"Then I watched it again two Sundays ago (March 20th, 2005) and I began to really enjoy it and this time I taped the entire thing.  ",1
This movie does an excellent job of revealing the complexity of the task and the incredible challenges facing South Africa.  ,1
"To be honest with you, this is unbelievable nonsense and very foolish.  ",0
The best scene in the movie was when Gerardo is trying to find a song that keeps running through his head.  ,1
"the food is not tasty at all, not to say its ""real traditional Hunan style"".",0
It looks very nice.,1
"All in all, Ha Long Bay was a bit of a flop.",0
"The result is a powerhouse achievement, made more timely now perhaps because of our culture's disturbing fascination with celebrity, and it's distorted interpretations of fame.  ",1
Voice recognition is tremendous!,1
This place should honestly be blown up.,0
Paying $7.85 for a hot dog and fries that looks like it came out of a kid's meal at the Wienerschnitzel is not my idea of a good meal.,0
"The best place in Vegas for breakfast (just check out a Sat, or Sun.",1
This place is disgusting!,0
It's A PIECE OF CRAP!,0
Good audio quality.,1
"It's the one movie that never ceases to interest me, simply because it keeps me alert, as I try to attempt to decipher it's meanings.  ",1
The entire audience applauded at the conclusion of the film.  ,1
"The worst, sappiest dialogue... I could go on and on.  ",0
Tied to charger for conversations lasting more than 45 minutes.MAJOR PROBLEMS!!,0
"Unless you're just out to visually ""collect"" all extant films of Austen's work, you can skip this one.  ",0
This wonderful experience made this place a must-stop whenever we are in town again.,1
It presents a idyllic yet serious portrayal of the ups and downs of the characters lives.  ,1
"I don't understand how this garbage got on the shelves of the movie store, it's not even a real movie!  ",0
Maybe there would be a reasonable explanation for this atrocity.  ,0
I was shocked because no signs indicate cash only.,0
"like the other reviewer said ""you couldn't pay me to eat at this place again.""",0
Good price.,1
"Woa, talk about awful.  ",0
"He is one of my favourite directors, and one of the most talented directors in the history of cinema.  ",1
As I said above....PRETTY USELESS!,0
Worth every penny.,1
"I put the latest OS on it (v1.15g), and it now likes to slow to a crawl and lock up every once in a while.",0
"The story is lame, not interesting and NEVER really explains the sinister origins of the puppets.  ",0
"This was my first crawfish experience, and it was delicious!",1
this place is good.,1
All in all I think it was a good investment.,1
They dropped more than the ball.,0
The update procedure is difficult and cumbersome.,0
After a year the battery went completely dead on my headset.,0
the movie is littered with overt racial slurs towards the black cast members and in return the whites are depicted as morons and boobs.  ,0
Excellent Phone.,1
Linda Cardellini is the only thing good in this film.  ,1
The acting sucked.  ,0
A great touch.,1
"stay away from this store, be careful.",0
"It's a sad movie, but very good.  ",1
The lighting is just dark enough to set the mood.,1
Don't waste your time here.,0
"Every time he opened his mouth you expect to hear, ""you see kids..."" Pulling the plug was a mercy killing for this horrible show.  ",0
Horrible!  ,0
My only complaint is the standard sound volume is a little low even when turned up to 5(of 5),0
It really created a unique feeling though.  ,1
"One more thing: I can tolerate political incorrectness very well, I'm all for artistic freedom and suspension of disbelief, but the Slavic female character was just too much.  ",0
The file browser offers all the options that one needs.Handsfree is great.,1
If only someone involved with it knew how to string together narrative!  ,0
All I have to say is the food was amazing!!!,1
Their chow mein is so good!,1
"This really is how Vegas fine dining used to be, right down to the menus handed to the ladies that have no prices listed.",1
Everything from acting to cinematography was solid.  ,1
I don't think I've ever gone to a movie and disliked it as much.  ,0
Linksys should have some way to exchange a bad phone for a refurb unit or something!,0
I thought Errol Flynn was brilliant as Custer and has since become my favourite actor!  ,1
Started watching this but didn't believe in any of the characters.  ,0
I like design and look of Jabra behing the ear headsets and 5020 is pretty comfortible to wear 24 hours a day without pain in the ear.,1
Ample portions and good prices.,1
But what really made it unwatchable was the direction.  ,0
Oh and I forgot to also mention the weird color effect it has on your phone.,0
"Good , works fine.",1
"However-the riingtones are not the best, and neither are the games.",0
I highly doubt that anyone could ever like this trash.  ,0
"The sound quality for the device is unacceptable.Unless you are in a really quiet area, you almost hear nothing.",0
"This place is overpriced, not consistent with their boba, and it really is OVERPRICED!",0
"It felt like a very gripping, intelligent stage play (but without the overly theatrical feeling one actually gets from watching people on a stage) which plays on everyone's terror of a white lie escalating to monstrous consequences.  ",1
"Probably never coming back, and wouldn't recommend it.",0
"Level 5 spicy was perfect, where spice didn't over-whelm the soup.",1
"I go to far too many places and I've never seen any restaurant that serves a 1 egg breakfast, especially for $4.00.",0
Nine out of ten for a truly lovely film.  ,1
It would take too long to describe how bad my customer service experience has been with Amazon.,0
"Here, in The Wind and the Lion, we see a wonderful rendering of America's own Imperial age.  ",1
By far the BEST cheesecurds we have ever had!,1
Wasted two hours.  ,0
TOTAL WASTE OF TIME.,0
Setup went very smoothly.,1
We won't be returning.,0
"The best scene in the movie is at the end, but I won't spoil it.  ",1
But even the talented Carrell can't save this.  ,0
A good commentary of today's love and undoubtedly a film worth seeing.  ,1
It's like a bad two hour TV movie.  ,0
"One nice thing was that they added gratuity on the bill since our party was larger than 6 or 8, and they didn't expect more tip than that.",1
It is PERFECT for a sit-down family meal or get together with a few friends.,1
"I know that Jim O'Connor was very energetic and that nobody could be as much as him, but George was well dull.  ",0
good protection and does not make phone too bulky.,1
I enjoyed reading this book to my children when they were little.  ,1
So there is no way for me to plug it in here in the US unless I go by a converter.,0
"Funny, clever, hip - just like Pray's previous film, Hype!  ",1
Restaurant is always full but never a wait.,1
"Very convenient, since we were staying at the MGM!",1
Hell no will I go back,0
I was deeply impressed with the character he played.  ,1
Very wind-resistant.,1
It will drive you barking mad!  ,0
I am going to have to be the first to negatively review this product.,0
I am glad I purchased it.,1
This was my first and only Vegas buffet and it did not disappoint.,1
"It's as continuously beautiful to look at as a Bertolucci, but the relationships here are more convincing and the narrative more engaging than some of that master's work.  ",1
"Plus, it was well-paced and suited its relatively short run time.  ",1
"Good show, Samsung.",1
"After 20 minutes wait, I got a table.",0
This mostly routine fact-based TV drama gets a boost from the fine performance by Cole.  ,1
"The film succeeds despite, or perhaps because of, an obviously meagre budget.  ",1
"The whole experience was underwhelming, and I think we'll just go to Ninja Sushi next time.",0
EXCELLENT SERVICE!!!!!!!!.,1
I don't think I'll be running back to Carly's anytime soon for food.,0
Raw and sublimely moving.  ,1
You need two hands to operate the screen.This software interface is decade old and cannot compete with new software designs.,0
"Every element of this story was so over the top, excessively phony and contrived that it was painful to sit through.  ",0
the potatoes were great and so was the biscuit.,1
I own 2 of these cases and would order another.,1
Won't go back.,0
"The food was very good and I enjoyed every mouthful, an enjoyable relaxed venue for couples small family groups etc.",1
Good product - incredible value.,1
"But the convoluted plot just didn't convince me, and much of the film was watched with a weird, questioning glance.  ",0
"However, after finally watching this film, I realized that not only had I had a closed mind to the brilliance it depicts, I also found myself watching it over and over again.  ",1
"Lewis Black's considerable talent is wasted here too, as he is at his most incendiary when he is unrestrained, which the PG-13 rating certainly won't allow.  ",0
My husband said she was very rude... did not even apologize for the bad food or anything.,0
"This movie is a pure disaster, the story is stupid and the editing is the worst I have seen, it confuses you incredibly.  ",0
"The best part about ""Nurse Betty"" is it's unpredictability.  ",1
"This movie is so mind-bendingly awful, it couldn't have even been created.  ",0
I got the car charger and not even after a week the charger was broken...I went to plug it in and it started smoking.,0
Everything is appalling.  ,0
The visual effects were AWFUL.  ,0
The seasonal fruit was fresh white peach puree.,1
This is simply the BEST bluetooth headset for sound quality!,1
This PDA rocks.,1
It also had a new problem.,0
Before I go in to why I gave a 1 star rating please know that this was my third time eating at Bachi burger before writing a review.,0
It's just painful!  ,0
Also the music by Mark Snow is possibly the best score I've ever heard.  ,1
"Much more interesting, more action, more suspense, and less of the unneeded controversy.  ",1
He deserves 5 stars.,1
"I highly recommend this movie for anyone interested in art, poetry, theater, politics, or Japanese history.  ",1
The Jabra EarGels fit my ears very well.,1
1/10 - and only because there is no setting for 0/10.  ,0
The commercials are the most misleading.,0
But it does get better reception and clarity than any phone I've had before.,1
There is a brilliant twist ending.  ,1
Four stars for the food & the guy in the blue shirt for his great vibe & still letting us in to eat !,1
I'm probably one of the few people to ever go to Ians and not like it.,0
Very Very Disappointed ordered the $35 Big Bay Plater.,0
You wont regret it!  ,1
"As for the service: I'm a fan, because it's quick and you're being served by some nice folks.",1
I mean this in a terrible way.  ,0
"But, Kevin Spacey is an excellent, verbal tsunami as Buddy Ackerman  and totally believable because he is a great actor.  ",1
I wasn't the least bit interested.  ,0
As a sushi lover avoid this place by all means.,0
Battery life is real good.,1
The ambiance was incredible.,1
"For a self proclaimed coffee cafe, I was wildly disappointed.",0
poor voice clarity.,0
"His use of the colours of the French flag in the three films was nothing short of incredible, every shot, every scene was like a work of art.  ",1
I'd love to go back.,1
Can't upload ringtones from a third party.,0
Never had anything to complain about here.,1
Razr Battery - Good buy.,1
No one at the table thought the food was above average or worth the wait that we had for it.,0
I was not impressed by this product.,0
Bland and flavorless is a good way of describing the barely tepid meat.,0
"Also there are combos like a burger, fries, and beer for 23 which is a decent deal.",1
The battery is unreliable as well as the service use antena.,0
Service was very prompt.,1
Its not user friendly.,0
"But ""Tiny Toons"" kept the 90's vibe and delivered one of the most popular, funny, and underrated cartoons ever created.  ",1
Reception is terrible and full of static.,0
I'm super pissd.,0
Owner's are really great people.!,1
Having to humour him just to get by and get through the day was so apt.  ,1
Alexander Nevsky is a great film.  ,1
Never again will I be dining at this place!,0
Battery is holding up well.,1
I don't think it would hold it too securly on your belt.,0
Cant say enough good things about this place.,1
Sauce was tasteless.,0
"The guys all had steaks, and our steak loving son who has had steak at the best and worst places said it was the best steak he's ever eaten.",1
I have yet to run this new battery below two bars and that's three days without charging.,1
They made this case too small and is very difficult to install.,0
"So for our enjoyment we get to see them run around, play games, and be dangerous.  ",1
"Just consider the excellent story, solid acting and look of the film as added bonuses.  ",1
The nano stated it.My son was dissapointed.,0
Waited and waited and waited.,0
I found this product to be waaay too big.,0
It is not just a cult... it is a cult CLASSIC.  ,1
Good Quality.,1
"The results, well, are a shame.  ",0
"They will customize your order any way you'd like, my usual is Eggplant with Green Bean stir fry, love it!",1
"It had some average acting from the main person, and it was a low budget as you clearly can see.  ",0
This is one of the best bars with food in Vegas.,1
Great Pocket PC / phone combination.,1
"Best Buffet in town, for the price you cannot beat it.",1
I gave it a 10  ,1
Does not work for listening to music with the cingular 8125.,0
I won't try going back there even if it's empty.,0
"They have a plethora of salads and sandwiches, and everything I've tried gets my seal of approval.",1
"The only thing really worth watching was the scenery and the house, because it is beautiful.  ",1
"The use of slow-motion needlessly repeats itself throughout the movie but is well backed up by bad acting (and bad is a kind word here), no continuity, scenes that are thrown in for no reason whatsoever, vehicles that looked like they were made from a Corn Flakes box and a directorial style that bordered on stupidity.  ",0
The steak was amazing...rge fillet relleno was the best seafood plate i have ever had!,1
I'm really disappointed all I have now is a charger that doesn't work.,0
Very prompt service.,1
I knew when I saw the film that more great things were to come from this gifted actor.  ,1
"This movie creates its own universe, and is fascinating in every way.  ",1
"I could not understand, what kind of idiot would produce this mess in the first place not to mention several season.  ",0
"It never condescends, all the characters have good genuine hearts and believable problems.  ",1
